s,entry,exit,r
threevol,2026-04-30 06:55:00,2026-04-30 08:00:00,1.7573245952197378
threevol,2026-05-18 00:05:00,2026-05-18 00:40:00,1.845913438772611
threevol,2026-05-19 13:25:00,2026-05-20 10:20:00,-0.10769087696456803
threevol,2026-05-26 04:30:00,2026-05-26 05:05:00,-0.4388382051759449
threevol,2026-06-03 04:35:00,2026-06-03 06:45:00,1.5945769050958392
threevol,2026-06-03 15:10:00,2026-06-03 17:05:00,-0.3385181776346065
threevol,2026-06-05 01:40:00,2026-06-05 06:25:00,-0.25498707055781306
fvg,2026-06-01 11:55:00,2026-06-08 05:35:00,4.931263729910973
threevol,2026-06-09 19:15:00,2026-06-09 22:50:00,1.7392833996852144
threevol,2026-06-18 12:35:00,2026-06-18 13:15:00,-1.1693511693511693
threevol,2026-06-23 01:40:00,2026-06-23 04:55:00,1.8346224677716392
fib,2026-06-18 13:30:00,2026-06-24 13:10:00,4.951958545582294
threevol,2026-06-30 00:40:00,2026-06-30 01:05:00,1.7674292431503753
harmonic,2026-06-23 01:40:00,2026-07-12 23:55:00,0.0
fvg,2026-06-18 13:05:00,2026-07-12 23:55:00,0.0
